idx,partition,spk_a,utt_a,spk_b,utt_b,snr_a,snr_b,dur_sec,wav_a,wav_b,mp4_a,out_wav,out_mp4
29,train,第一批_5%_vg0146,47db56bf-b853-4d8c-9710-b6c8ef2645d1,part_50000-60000_vg0009,58388f86-dcc5-4cf2-b296-91addd530cb9,0.000000,-5.723830,8.452,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/第一批_5%/47db56bf-b853-4d8c-9710-b6c8ef2645d1.wav,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/part_50000-60000/58388f86-dcc5-4cf2-b296-91addd530cb9.wav,/data/megastore/Datasets/FaceVideoData/opensource_dataset/DH-FaceVid-1K/第一批_5%/47db56bf-b853-4d8c-9710-b6c8ef2645d1.mp4,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0029.wav,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0029.mp4
30,train,part_40000-50000_vg0013,3445c5be-af38-4f6c-bfd4-a44e85bbe3b9,part_70000-75000_vg0015,5665a1cf-6c0d-4b42-8741-dff8247d96a1,0.000000,-4.747171,5.039,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/part_40000-50000/3445c5be-af38-4f6c-bfd4-a44e85bbe3b9.wav,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/part_70000-75000/5665a1cf-6c0d-4b42-8741-dff8247d96a1.wav,/data/megastore/Datasets/FaceVideoData/opensource_dataset/DH-FaceVid-1K/part_40000-50000/3445c5be-af38-4f6c-bfd4-a44e85bbe3b9.mp4,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0030.wav,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0030.mp4
31,val,part_70000-75000_vg0004,55088bad-caa4-46b8-a5c7-888b9468cb64,part_50000-60000_vg0049,5f79e72b-5bb2-469e-bc6b-950d092ead04,0.000000,-5.199453,14.280,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/part_70000-75000/55088bad-caa4-46b8-a5c7-888b9468cb64.wav,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/part_50000-60000/5f79e72b-5bb2-469e-bc6b-950d092ead04.wav,/data/megastore/Datasets/FaceVideoData/opensource_dataset/DH-FaceVid-1K/part_70000-75000/55088bad-caa4-46b8-a5c7-888b9468cb64.mp4,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0031.wav,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0031.mp4
32,train,part_05000-10000_vg0043,19be08c3-fb35-449d-bfa6-13d0df1b7a18,part_15000-20000_vg0062,3e912c3c-b121-4add-9abc-963743df1650,0.000000,-5.210131,8.000,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/part_05000-10000/19be08c3-fb35-449d-bfa6-13d0df1b7a18.wav,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/part_15000-20000/3e912c3c-b121-4add-9abc-963743df1650.wav,/data/megastore/Datasets/FaceVideoData/opensource_dataset/DH-FaceVid-1K/part_05000-10000/19be08c3-fb35-449d-bfa6-13d0df1b7a18.mp4,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0032.wav,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0032.mp4
33,train,第二批_5%_vg0110,b77b54ce-b3c8-4211-86be-874871083508,part_30000-35000_vg0092,25ce2c2b-00c9-4f14-8f78-2848c12d2db2,0.000000,-5.960705,5.039,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/第二批_5%/b77b54ce-b3c8-4211-86be-874871083508.wav,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/part_30000-35000/25ce2c2b-00c9-4f14-8f78-2848c12d2db2.wav,/data/megastore/Datasets/FaceVideoData/opensource_dataset/DH-FaceVid-1K/第二批_5%/b77b54ce-b3c8-4211-86be-874871083508.mp4,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0033.wav,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0033.mp4
34,train,part_85000-90000_vg0060,81305342-a4dc-420d-abaf-9085b4b73265,part_80000-85000_vg0063,753853f9-3d2d-4f42-afc4-661a3aedb7bd,0.000000,-4.194777,8.545,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/part_85000-90000/81305342-a4dc-420d-abaf-9085b4b73265.wav,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/part_80000-85000/753853f9-3d2d-4f42-afc4-661a3aedb7bd.wav,/data/megastore/Datasets/FaceVideoData/opensource_dataset/DH-FaceVid-1K/part_85000-90000/81305342-a4dc-420d-abaf-9085b4b73265.mp4,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0034.wav,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0034.mp4
35,train,part_75000-80000_vg0056,683980e9-96fa-4b5d-9b66-4e0cd1df078d,part_80000-85000_vg0023,704e2213-e36f-4e15-9813-86a6b9aff6c4,0.000000,-4.836119,6.037,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/part_75000-80000/683980e9-96fa-4b5d-9b66-4e0cd1df078d.wav,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/part_80000-85000/704e2213-e36f-4e15-9813-86a6b9aff6c4.wav,/data/megastore/Datasets/FaceVideoData/opensource_dataset/DH-FaceVid-1K/part_75000-80000/683980e9-96fa-4b5d-9b66-4e0cd1df078d.mp4,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0035.wav,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0035.mp4
36,train,part_05000-10000_vg0087,218bbda0-e6a3-4878-9a2e-401681eccf9e,第一批_5%_vg0101,31bd3e0e-404a-4a0b-b236-01cf24ccb549,0.000000,-4.286115,24.079,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/part_05000-10000/218bbda0-e6a3-4878-9a2e-401681eccf9e.wav,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/第一批_5%/31bd3e0e-404a-4a0b-b236-01cf24ccb549.wav,/data/megastore/Datasets/FaceVideoData/opensource_dataset/DH-FaceVid-1K/part_05000-10000/218bbda0-e6a3-4878-9a2e-401681eccf9e.mp4,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0036.wav,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0036.mp4
37,train,第一批_5%_vg0041,14b0e6c7-4bb5-42d7-9d81-afaf0fb5b4f1,part_70000-75000_vg0088,5f8ed5c4-a775-427d-8535-9c2e4527bd89,0.000000,-3.381674,5.039,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/第一批_5%/14b0e6c7-4bb5-42d7-9d81-afaf0fb5b4f1.wav,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/part_70000-75000/5f8ed5c4-a775-427d-8535-9c2e4527bd89.wav,/data/megastore/Datasets/FaceVideoData/opensource_dataset/DH-FaceVid-1K/第一批_5%/14b0e6c7-4bb5-42d7-9d81-afaf0fb5b4f1.mp4,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0037.wav,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0037.mp4
38,train,part_40000-50000_vg0115,47dd08cf-8351-4d6b-9367-f4b156f673cf,第一批_5%_vg0159,4e2fb32c-c0d8-4b39-a5c0-e0f663fea9c8,0.000000,-3.722290,5.039,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/part_40000-50000/47dd08cf-8351-4d6b-9367-f4b156f673cf.wav,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/第一批_5%/4e2fb32c-c0d8-4b39-a5c0-e0f663fea9c8.wav,/data/megastore/Datasets/FaceVideoData/opensource_dataset/DH-FaceVid-1K/part_40000-50000/47dd08cf-8351-4d6b-9367-f4b156f673cf.mp4,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0038.wav,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0038.mp4
39,train,part_65000-70000_vg0055,4f111d8d-5fc6-4d6c-bbce-20c33b4fcb2f,part_95000-100000_vg0051,99232167-a5c4-435f-95ee-0de73f46833e,0.000000,-3.687566,5.039,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/part_65000-70000/4f111d8d-5fc6-4d6c-bbce-20c33b4fcb2f.wav,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/part_95000-100000/99232167-a5c4-435f-95ee-0de73f46833e.wav,/data/megastore/Datasets/FaceVideoData/opensource_dataset/DH-FaceVid-1K/part_65000-70000/4f111d8d-5fc6-4d6c-bbce-20c33b4fcb2f.mp4,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0039.wav,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0039.mp4
40,train,part_50000-60000_vg0125,6d9dee80-0234-4884-b637-d0bd6c47885d,part_50000-60000_vg0031,5c3d6ab7-873b-447e-8e95-40f229615fd6,0.000000,-5.109624,5.039,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/part_50000-60000/6d9dee80-0234-4884-b637-d0bd6c47885d.wav,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/part_50000-60000/5c3d6ab7-873b-447e-8e95-40f229615fd6.wav,/data/megastore/Datasets/FaceVideoData/opensource_dataset/DH-FaceVid-1K/part_50000-60000/6d9dee80-0234-4884-b637-d0bd6c47885d.mp4,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0040.wav,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0040.mp4
41,test,第二批_5%_vg0039,943eb0e8-6468-40a8-ad26-8f0ee94b3f17,part_50000-60000_vg0117,6c17479a-2aac-4c0c-82ef-2d1d9d584ebd,0.000000,-5.535446,15.882,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/第二批_5%/943eb0e8-6468-40a8-ad26-8f0ee94b3f17.wav,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/part_50000-60000/6c17479a-2aac-4c0c-82ef-2d1d9d584ebd.wav,/data/megastore/Datasets/FaceVideoData/opensource_dataset/DH-FaceVid-1K/第二批_5%/943eb0e8-6468-40a8-ad26-8f0ee94b3f17.mp4,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0041.wav,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0041.mp4
42,train,part_15000-20000_vg0076,4120e701-bc1e-4292-ae88-ebaec7b2378d,part_30000-35000_vg0008,1b1baf77-4f3b-42aa-9e59-c00916d19458,0.000000,-3.636362,5.039,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/part_15000-20000/4120e701-bc1e-4292-ae88-ebaec7b2378d.wav,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/part_30000-35000/1b1baf77-4f3b-42aa-9e59-c00916d19458.wav,/data/megastore/Datasets/FaceVideoData/opensource_dataset/DH-FaceVid-1K/part_15000-20000/4120e701-bc1e-4292-ae88-ebaec7b2378d.mp4,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0042.wav,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0042.mp4
43,val,part_00000-05000_vg0039,073f89ef-32d4-47ff-8161-7d90293b70e3,part_35000-40000_vg0022,2965350b-b382-48ec-a4c8-09f83c6fe923,0.000000,-4.475754,5.039,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/part_00000-05000/073f89ef-32d4-47ff-8161-7d90293b70e3.wav,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/part_35000-40000/2965350b-b382-48ec-a4c8-09f83c6fe923.wav,/data/megastore/Datasets/FaceVideoData/opensource_dataset/DH-FaceVid-1K/part_00000-05000/073f89ef-32d4-47ff-8161-7d90293b70e3.mp4,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0043.wav,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0043.mp4
44,train,第二批_5%_vg0215,ebb70a60-0b60-4824-a33b-e9a658fafb07,part_35000-40000_vg0015,288ebb0a-4f82-4806-a89a-174b27f28e94,0.000000,-5.865239,9.079,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/第二批_5%/ebb70a60-0b60-4824-a33b-e9a658fafb07.wav,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/part_35000-40000/288ebb0a-4f82-4806-a89a-174b27f28e94.wav,/data/megastore/Datasets/FaceVideoData/opensource_dataset/DH-FaceVid-1K/第二批_5%/ebb70a60-0b60-4824-a33b-e9a658fafb07.mp4,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0044.wav,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0044.mp4
45,train,part_50000-60000_vg0111,6ad2b257-0767-4dac-9681-e5df9efaf324,part_15000-20000_vg0094,4459e1ff-15cc-4444-bea2-fec2a446ff56,0.000000,-4.153665,22.500,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/part_50000-60000/6ad2b257-0767-4dac-9681-e5df9efaf324.wav,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/part_15000-20000/4459e1ff-15cc-4444-bea2-fec2a446ff56.wav,/data/megastore/Datasets/FaceVideoData/opensource_dataset/DH-FaceVid-1K/part_50000-60000/6ad2b257-0767-4dac-9681-e5df9efaf324.mp4,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0045.wav,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0045.mp4
46,train,第二批_5%_vg0004,83692df4-4ca2-4b70-a860-cd96e1785f97,part_20000-25000_vg0027,048b3ff0-d03b-49e2-8908-bcb46dcba98e,0.000000,-4.270212,5.039,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/第二批_5%/83692df4-4ca2-4b70-a860-cd96e1785f97.wav,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/part_20000-25000/048b3ff0-d03b-49e2-8908-bcb46dcba98e.wav,/data/megastore/Datasets/FaceVideoData/opensource_dataset/DH-FaceVid-1K/第二批_5%/83692df4-4ca2-4b70-a860-cd96e1785f97.mp4,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0046.wav,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0046.mp4
47,test,part_80000-85000_vg0017,6f7bedc5-2840-4851-9aa3-042a1389b7ec,part_50000-60000_vg0048,5f60fec3-e4da-4460-93c6-9fc23d2a9506,0.000000,-4.731945,4.110,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/part_80000-85000/6f7bedc5-2840-4851-9aa3-042a1389b7ec.wav,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/part_50000-60000/5f60fec3-e4da-4460-93c6-9fc23d2a9506.wav,/data/megastore/Datasets/FaceVideoData/opensource_dataset/DH-FaceVid-1K/part_80000-85000/6f7bedc5-2840-4851-9aa3-042a1389b7ec.mp4,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0047.wav,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0047.mp4
48,train,part_35000-40000_vg0024,299b4f56-0c5f-464c-81e7-6ff80af8de90,第二批_5%_vg0030,8fc27c2e-ad33-43bf-bded-f05772e69b1c,0.000000,-5.159066,8.000,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/part_35000-40000/299b4f56-0c5f-464c-81e7-6ff80af8de90.wav,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/第二批_5%/8fc27c2e-ad33-43bf-bded-f05772e69b1c.wav,/data/megastore/Datasets/FaceVideoData/opensource_dataset/DH-FaceVid-1K/part_35000-40000/299b4f56-0c5f-464c-81e7-6ff80af8de90.mp4,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0048.wav,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0048.mp4
49,train,part_90000-95000_vg0060,8db74d3e-0941-41c3-a321-121c59be110a,第二批_5%_vg0027,8e270287-3bbc-4761-b509-092448b2181c,0.000000,-5.196631,6.016,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/part_90000-95000/8db74d3e-0941-41c3-a321-121c59be110a.wav,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/第二批_5%/8e270287-3bbc-4761-b509-092448b2181c.wav,/data/megastore/Datasets/FaceVideoData/opensource_dataset/DH-FaceVid-1K/part_90000-95000/8db74d3e-0941-41c3-a321-121c59be110a.mp4,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0049.wav,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0049.mp4
50,train,part_20000-25000_vg0024,0417064f-bfd9-4b6d-a117-ceeaace8ba88,part_10000-15000_vg0061,2e6ce061-5f2c-467c-be1d-2914eda7dcdb,0.000000,-3.753248,14.373,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/part_20000-25000/0417064f-bfd9-4b6d-a117-ceeaace8ba88.wav,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/part_10000-15000/2e6ce061-5f2c-467c-be1d-2914eda7dcdb.wav,/data/megastore/Datasets/FaceVideoData/opensource_dataset/DH-FaceVid-1K/part_20000-25000/0417064f-bfd9-4b6d-a117-ceeaace8ba88.mp4,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0050.wav,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0050.mp4
51,train,part_85000-90000_vg0071,82a2d3a2-41a5-40ca-98bd-1dcf10a9e92f,part_80000-85000_vg0002,6da3b4f9-6efc-4e6f-8890-b6e687966839,0.000000,-3.660759,6.016,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/part_85000-90000/82a2d3a2-41a5-40ca-98bd-1dcf10a9e92f.wav,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/part_80000-85000/6da3b4f9-6efc-4e6f-8890-b6e687966839.wav,/data/megastore/Datasets/FaceVideoData/opensource_dataset/DH-FaceVid-1K/part_85000-90000/82a2d3a2-41a5-40ca-98bd-1dcf10a9e92f.mp4,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0051.wav,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0051.mp4
52,train,第一批_5%_vg0212,68267490-5674-4ff6-8aed-aa39aac6426e,part_40000-50000_vg0106,463ede08-b958-4122-a49d-7a403348ef29,0.000000,-4.386951,12.307,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/第一批_5%/68267490-5674-4ff6-8aed-aa39aac6426e.wav,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/part_40000-50000/463ede08-b958-4122-a49d-7a403348ef29.wav,/data/megastore/Datasets/FaceVideoData/opensource_dataset/DH-FaceVid-1K/第一批_5%/68267490-5674-4ff6-8aed-aa39aac6426e.mp4,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0052.wav,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0052.mp4
53,train,part_40000-50000_vg0135,4b734066-39a9-4d6d-8ea6-5526f785d488,part_20000-25000_vg0069,09dc51b2-1375-4db0-a990-3bac8f32af24,0.000000,-5.881582,6.016,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/part_40000-50000/4b734066-39a9-4d6d-8ea6-5526f785d488.wav,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/part_20000-25000/09dc51b2-1375-4db0-a990-3bac8f32af24.wav,/data/megastore/Datasets/FaceVideoData/opensource_dataset/DH-FaceVid-1K/part_40000-50000/4b734066-39a9-4d6d-8ea6-5526f785d488.mp4,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0053.wav,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0053.mp4
54,train,第二批_5%_vg0130,c137f180-ab92-4d07-81f8-5b36fbcb422f,part_50000-60000_vg0045,5ede3ca0-0207-4254-a9ef-1946bcf816a7,0.000000,-4.735164,2.027,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/第二批_5%/c137f180-ab92-4d07-81f8-5b36fbcb422f.wav,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/part_50000-60000/5ede3ca0-0207-4254-a9ef-1946bcf816a7.wav,/data/megastore/Datasets/FaceVideoData/opensource_dataset/DH-FaceVid-1K/第二批_5%/c137f180-ab92-4d07-81f8-5b36fbcb422f.mp4,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0054.wav,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0054.mp4
55,train,part_60000-65000_vg0029,430143d1-c7b3-4de8-9adc-2f324f91bf6d,part_85000-90000_vg0025,7cbf5420-299e-4e2f-a454-72139a6ecc3c,0.000000,-4.718411,3.029,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/part_60000-65000/430143d1-c7b3-4de8-9adc-2f324f91bf6d.wav,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/part_85000-90000/7cbf5420-299e-4e2f-a454-72139a6ecc3c.wav,/data/megastore/Datasets/FaceVideoData/opensource_dataset/DH-FaceVid-1K/part_60000-65000/430143d1-c7b3-4de8-9adc-2f324f91bf6d.mp4,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0055.wav,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0055.mp4
56,test,part_85000-90000_vg0004,7a18a68f-e763-4286-92b5-4b3902107cdf,part_65000-70000_vg0044,4dc3d5b7-6192-43a7-a0be-ca7debb0f0f7,0.000000,-5.545284,5.039,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/part_85000-90000/7a18a68f-e763-4286-92b5-4b3902107cdf.wav,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/part_65000-70000/4dc3d5b7-6192-43a7-a0be-ca7debb0f0f7.wav,/data/megastore/Datasets/FaceVideoData/opensource_dataset/DH-FaceVid-1K/part_85000-90000/7a18a68f-e763-4286-92b5-4b3902107cdf.mp4,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0056.wav,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0056.mp4
57,train,part_90000-95000_vg0080,9032b64a-0d56-46ee-b8ef-db86782e7b74,part_40000-50000_vg0137,4bbbf24d-f0d2-47a1-9b2c-4cde762fe487,0.000000,-5.031290,5.039,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/part_90000-95000/9032b64a-0d56-46ee-b8ef-db86782e7b74.wav,/data/megastore/Projects/tianxiaowen/dataset/v2_extracted_wav_aligned_p50_withoutBGM/part_40000-50000/4bbbf24d-f0d2-47a1-9b2c-4cde762fe487.wav,/data/megastore/Datasets/FaceVideoData/opensource_dataset/DH-FaceVid-1K/part_90000-95000/9032b64a-0d56-46ee-b8ef-db86782e7b74.mp4,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0057.wav,/data/megastore/Projects/tianxiaowen/code/AV_TSE/checkpoints/AV_Mossformer/rknn_calib_src_200/pair_0057.mp4
